product_id,product_name,country,base_price,current_selling,current_markup_pct,markup_if_single_orig,markup_if_doubled_orig,corrected_selling_if_doubled
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,AL,49.00,96.04,96.00,73.00,50.00,84.77
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,CH,49.00,96.04,96.00,73.00,50.00,84.77
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,DE,49.00,96.04,96.00,73.00,50.00,84.77
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,FR,49.00,96.04,96.00,73.00,50.00,84.77
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,GB,49.00,96.04,96.00,73.00,50.00,84.77
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,IE,49.00,98.49,101.00,78.00,55.00,87.22
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,KE,49.00,96.04,96.00,73.00,50.00,84.77
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,MT,49.00,96.04,96.00,73.00,50.00,84.77
7b91c32d-a7c1-47ee-ba0a-b3638175b0e9,Al Hiza White Oudh Roll-On Perfume,US,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,AL,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,CH,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,DE,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,FR,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,GB,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,IE,49.00,98.49,101.00,78.00,55.00,87.22
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,KE,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,MT,49.00,96.04,96.00,73.00,50.00,84.77
aaf6ced4-e5e3-4b01-9bcc-6bcaa75ddebc,Al Hiza Z Roll-On Perfume (6ml) | Long Lasting Attar | Alcohol-Free Fragrance for Men & Women,US,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),AL,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),CH,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),DE,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),FR,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),GB,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),IE,49.00,98.49,101.00,78.00,55.00,87.22
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),KE,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),MT,49.00,96.04,96.00,73.00,50.00,84.77
b0bcb6db-f357-4ada-8337-fcb0b269dee7,Al-Naas Cleopatra Perfume (Attar),US,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),AL,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),CH,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),DE,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),FR,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),GB,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),IE,49.00,98.49,101.00,78.00,55.00,87.22
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),KE,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),MT,49.00,96.04,96.00,73.00,50.00,84.77
af743b6d-af94-4ae4-b4b8-3a8fb2c22f3f,Al-Naas Jasmine Attar (Perfume Oil),US,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,AL,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,CH,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,DE,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,FR,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,GB,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,IE,49.00,98.49,101.00,78.00,55.00,87.22
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,KE,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,MT,49.00,96.04,96.00,73.00,50.00,84.77
acb21ec9-84c3-48b9-9611-c06428503b86,Almas Dark Chocolate Roll-On Perfume,US,49.00,96.04,96.00,73.00,50.00,84.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,AL,149.00,292.04,96.00,73.00,50.00,257.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,CH,149.00,292.04,96.00,73.00,50.00,257.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,DE,149.00,292.04,96.00,73.00,50.00,257.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,FR,149.00,292.04,96.00,73.00,50.00,257.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,GB,149.00,292.04,96.00,73.00,50.00,257.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,IE,149.00,299.49,101.00,78.00,55.00,265.22
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,KE,149.00,292.04,96.00,73.00,50.00,257.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,MT,149.00,292.04,96.00,73.00,50.00,257.77
88e713a1-47f1-4729-b820-2e6e41b34579,Alps Goodness 100% Pure Glycerine 100 ml,US,149.00,292.04,96.00,73.00,50.00,257.77
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,AL,110.00,212.14,92.85,69.85,46.85,186.84
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,CH,110.00,212.14,92.85,69.85,46.85,186.84
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,DE,110.00,212.14,92.85,69.85,46.85,186.84
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,FR,110.00,212.14,92.85,69.85,46.85,186.84
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,GB,110.00,212.14,92.85,69.85,46.85,186.84
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,IE,110.00,219.54,99.58,76.58,53.58,194.24
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,KE,110.00,212.14,92.85,69.85,46.85,186.84
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,MT,110.00,212.14,92.85,69.85,46.85,186.84
d9a25248-a99d-4b21-9496-7641a396f707,Alps Goodness Amla Reetha & Shikakai 50 gm,US,110.00,212.14,92.85,69.85,46.85,186.84
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,AL,399.00,782.04,96.00,73.00,50.00,690.27
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,CH,399.00,782.04,96.00,73.00,50.00,690.27
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,DE,399.00,782.04,96.00,73.00,50.00,690.27
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,FR,399.00,782.04,96.00,73.00,50.00,690.27
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,GB,399.00,782.04,96.00,73.00,50.00,690.27
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,IE,399.00,809.38,102.85,79.85,56.85,717.61
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,KE,399.00,782.04,96.00,73.00,50.00,690.27
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,MT,399.00,782.04,96.00,73.00,50.00,690.27
6e63d13a-f8c8-44a2-851a-1d30eedd6886,Alps Goodness Castor & Bhringraj Hair Oil 300 ml,US,399.00,782.04,96.00,73.00,50.00,690.27
1785a953-c9da-46e3-91ae-f4a0748c9656,"Alps Goodness Coconut, Argan Oil & Hyaluronic Acid Hydrating & Moisturizing Conditioner For Dry Hair(200 ml)| No Nasties| CGM Friendly| Silicone Free",AL,228.00,446.88,96.00,73.00,50.00,394.44
